boro,bctcb2010,cenblock10,comp2010ap,comp2010,comp2011,comp2012,comp2013,comp2014,comp2015,comp2016,comp2017,comp2018,comp2019,comp2020,filed,approved,permitted,withdrawn,inactive,cenunits10,total
Staten Island,50067001005.0,360850067001005,,,,,,,,,,,,,,,,,,13,13
Staten Island,50074001005.0,360850074001005,0.0,0.0,,,-2.0,,1.0,,,-1.0,8.0,,,,,,,96,102
Staten Island,50075001005.0,360850075001005,,,,,,,,,-2.0,,,,4.0,,0.0,,,96,94
Staten Island,50077001005.0,360850077001005,,,,,,,,,,,,,,,,,-1.0,39,39
Staten Island,50081001005.0,360850081001005,,,1.0,,,,,,1.0,,,4.0,,,,,,117,123
Staten Island,50096021005.0,360850096021005,,,,,,,,,,,-1.0,,2.0,,2.0,,,24,23
Staten Island,50105001005.0,360850105001005,,,,,,-1.0,,,,,0.0,,,,,,,25,24
Staten Island,50112011005.0,360850112011005,,,,,,,,,,,,,,,,,,50,50
Staten Island,50112021005.0,360850112021005,,,,,,,,,,,,,,,,,,10,10
Staten Island,50114011005.0,360850114011005,,,,,,,,,,,,,,,,,,31,31
Staten Island,50114021005.0,360850114021005,,,,,,,,,,,,,,,,,,30,30
Staten Island,50121001005.0,360850121001005,,,,,,,,,,,0.0,,,,0.0,,,27,27
Staten Island,50122001005.0,360850122001005,,,,,,,2.0,,,,,,,,,,1.0,31,33
Staten Island,50125001005.0,360850125001005,,,0.0,,,,,,,,,,,,,,,69,69
Staten Island,50128041005.0,360850128041005,,,-1.0,-1.0,2.0,,,1.0,,0.0,2.0,-1.0,2.0,,,0.0,2.0,148,150
Staten Island,50128061005.0,360850128061005,,,,,,,,,,,,,,,,,,26,26
Staten Island,50132011005.0,360850132011005,,,,,,,,,,,,,0.0,,,,,22,22
Staten Island,50132031005.0,360850132031005,0.0,0.0,,,,,,,,,,,,,,,,35,35
Staten Island,50132041005.0,360850132041005,4.0,4.0,,,,,,,,,,,,,,,,10,14
Staten Island,50133021005.0,360850133021005,,,,,,,,,,,,,,,,,,35,35
Staten Island,50134001005.0,360850134001005,,,,,,,,,,,,,,,,,,0,0
Staten Island,50138001005.0,360850138001005,0.0,0.0,,,,0.0,,,,,,,,,,,,11,11
Staten Island,50141001005.0,360850141001005,,,,,,,,,2.0,,,,,,,,,44,46
Staten Island,50146041005.0,360850146041005,,,,,,,,,,,,,,,,,,51,51
Staten Island,50146071005.0,360850146071005,,,,,,,,,,,,,,,,,,54,54
Staten Island,50146081005.0,360850146081005,,,,,,,,,,,,,,,,,,67,67
Staten Island,50147001005.0,360850147001005,,,,,,,,,,,,,,,,,,34,34
Staten Island,50151001005.0,360850151001005,,,,0.0,,,,,,,,,,,,,,44,44
Staten Island,50156011005.0,360850156011005,0.0,0.0,,,,,,,0.0,,,1.0,,0.0,0.0,,0.0,31,32
Staten Island,50156021005.0,360850156021005,0.0,0.0,,,,,,,,,,,,,,,1.0,33,33
Staten Island,50170051005.0,360850170051005,1.0,1.0,,,2.0,2.0,,,0.0,,,,0.0,,1.0,,,49,54
Staten Island,50170091005.0,360850170091005,,,,,,,,,,,1.0,,,,,,,16,17
Staten Island,50170111005.0,360850170111005,,,,,,,,,,,,,,,,,,59,59
Staten Island,50173001005.0,360850173001005,,,,,,,,,,,,,,,,,,24,24
Staten Island,50187011005.0,360850187011005,,,,,,,0.0,,,,,,,-1.0,1.0,,0.0,34,34
Staten Island,50187021005.0,360850187021005,,,,,,,,,,,,,,,,,,58,58
Staten Island,50189011005.0,360850189011005,,,,,,,,,,,,,,,,,,43,43
Staten Island,50197001005.0,360850197001005,,,,,,,,,,,,,,,,,,15,15
Staten Island,50201001005.0,360850201001005,-1.0,-1.0,3.0,,,,,-1.0,,,,,,,,,,31,32
Staten Island,50208011005.0,360850208011005,,,,,,,,,,,,,,-2.0,,,,2,2
Staten Island,50208041005.0,360850208041005,,,,,,,,,,,,,,,,,,41,41
Staten Island,50213001005.0,360850213001005,,,,,,,,,,,,,,,0.0,,,31,31
Staten Island,50223001005.0,360850223001005,,,,,,,0.0,,,1.0,,,2.0,,2.0,,,35,36
Staten Island,50244011005.0,360850244011005,,,,,,,,,,,,0.0,,,,,,12,12
Staten Island,50247001005.0,360850247001005,,,,,,,,,,,,,,,,,,0,0
Staten Island,50273011005.0,360850273011005,,,,,,,,,,,,,,,,,,66,66
Staten Island,50273021005.0,360850273021005,,,,,,,,,,,,,,,,,0.0,31,31
Staten Island,50277051005.0,360850277051005,,,,,,,,,,,,,,,,,,106,106
