boro,bct2010,centract10,comp2010ap,comp2010,comp2011,comp2012,comp2013,comp2014,comp2015,comp2016,comp2017,comp2018,comp2019,comp2020,filed,approved,permitted,withdrawn,inactive,cenunits10,adjunits10,total,totaladj
Queens,4051700,36081051700.0,-1.0,-1.0,5.0,0.0,16.0,4.0,,,-3.0,-2.0,5.0,2.0,1.0,,15.0,7.0,0.0,826,826,852,852
Queens,4060701,36081060701.0,,,,,,,,,,,,,,,,,,18,18,18,18
Queens,4111300,36081111300.0,-1.0,0.0,3.0,2.0,0.0,1.0,-2.0,4.0,2.0,10.0,2.0,1.0,2.0,0.0,12.0,3.0,1.0,901,901,923,923
Queens,4112300,36081112300.0,,5.0,4.0,-2.0,1.0,5.0,1.0,1.0,-1.0,,2.0,5.0,13.0,4.0,3.0,2.0,5.0,868,868,884,884
Queens,4035800,36081035800.0,13.0,15.0,1.0,5.0,1.0,0.0,0.0,3.0,1.0,1.0,5.0,3.0,85.0,1.0,4.0,2.0,3.0,1356,1356,1389,1389
Queens,4064600,36081064600.0,,1.0,,,,1.0,,,,5.0,2.0,,0.0,,1.0,0.0,2.0,968,968,976,976
Queens,4047900,36081047900.0,2.0,8.0,20.0,3.0,13.0,1.0,7.0,-1.0,0.0,3.0,15.0,7.0,20.0,3.0,27.0,9.0,34.0,1884,1884,1954,1954
Brooklyn,3077200,36047077200.0,-1.0,-1.0,-1.0,-1.0,-2.0,,,,,1.0,1.0,,,,-6.0,-1.0,-1.0,1215,1215,1212,1212
Brooklyn,3077000,36047077000.0,213.0,213.0,3.0,,,2.0,,,,,-2.0,25.0,6.0,45.0,1.0,,1.0,1073,1073,1314,1314
Brooklyn,3078800,36047078800.0,,,,,0.0,0.0,,-3.0,,0.0,33.0,124.0,68.0,-3.0,119.0,1.0,1.0,1242,1242,1396,1396
Brooklyn,3020300,36047020300.0,3.0,3.0,28.0,0.0,39.0,26.0,16.0,27.0,5.0,20.0,14.0,17.0,21.0,-3.0,119.0,41.0,8.0,740,740,935,935
Brooklyn,3019900,36047019900.0,5.0,5.0,9.0,33.0,17.0,-4.0,19.0,5.0,66.0,0.0,601.0,1.0,-1.0,-4.0,509.0,43.0,-10.0,1616,1616,2368,2368
Brooklyn,3020100,36047020100.0,65.0,66.0,42.0,5.0,1.0,11.0,1.0,19.0,-3.0,2.0,20.0,76.0,15.0,14.0,45.0,29.0,25.0,1822,1822,2061,2061
Queens,4081800,36081081800.0,1.0,3.0,-1.0,4.0,1.0,,1.0,-1.0,1.0,2.0,5.0,3.0,3.0,1.0,13.0,0.0,10.0,1101,1101,1117,1117
Queens,4084602,36081084602.0,0.0,0.0,,1.0,0.0,,,,1.0,,1.0,2.0,1.0,0.0,2.0,1.0,3.0,265,265,270,270
Queens,4080900,36081080900.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,,0.0,3.0,0.0,0.0,2806,2806,2816,2816
Manhattan,1014200,36061014200.0,0.0,0.0,-1.0,-9.0,-2.0,-3.0,-8.0,-14.0,-1.0,-12.0,-12.0,8.0,,-20.0,6.0,-7.0,7.0,2764,2764,2710,2710
Brooklyn,3036100,36047036100.0,,,18.0,10.0,,,0.0,,,3.0,,,16.0,,21.0,1.0,6.0,1106,1106,1137,1137
Brooklyn,3031100,36047031100.0,11.0,17.0,,0.0,3.0,3.0,-3.0,3.0,32.0,7.0,0.0,4.0,0.0,28.0,43.0,6.0,2.0,1253,1253,1313,1313
Brooklyn,3096200,36047096200.0,,,1.0,,,,,,,,2.0,,,-1.0,2.0,1.0,1.0,560,560,563,563
Queens,4071305,36081071305.0,,,,,,-1.0,,,,,,,0.0,,,0.0,-1.0,2538,2538,2537,2537
Queens,4017800,36081017800.0,,,,1.0,0.0,,,0.0,,,0.0,,2.0,-1.0,5.0,0.0,2.0,614,614,615,615
Queens,4084000,36081084000.0,2.0,4.0,8.0,3.0,7.0,9.0,1.0,4.0,5.0,5.0,1.0,2.0,6.0,3.0,3.0,2.0,6.0,1971,1971,2018,2018
Brooklyn,3061002,36047061002.0,,,1.0,0.0,-2.0,62.0,1.0,,,1.0,1.0,,0.0,,0.0,0.0,0.0,2286,2286,2350,2350
Brooklyn,3060800,36047060800.0,0.0,0.0,,,42.0,9.0,,-5.0,57.0,11.0,1.0,,51.0,-8.0,56.0,47.0,4.0,1842,1842,1957,1957
Brooklyn,3061003,36047061003.0,-1.0,-1.0,,1.0,,,,78.0,,,,,1.0,,2.0,53.0,8.0,665,665,743,743
Brooklyn,3029200,36047029200.0,,,16.0,,-4.0,15.0,5.0,4.0,,4.0,-4.0,,3.0,39.0,21.0,2.0,0.0,992,992,1028,1028
Brooklyn,3029400,36047029400.0,,,4.0,,,,0.0,,,,-4.0,,,,397.0,-8.0,0.0,628,628,628,628
Brooklyn,3058900,36047058900.0,,,,17.0,0.0,0.0,8.0,-1.0,-1.0,6.0,-2.0,,0.0,,-5.0,0.0,19.0,862,862,889,889
Queens,4058100,36081058100.0,1.0,1.0,0.0,0.0,1.0,,,,1.0,1.0,,,,3.0,1.0,1.0,0.0,1095,1095,1099,1099
Queens,4057700,36081057700.0,,,0.0,0.0,,,,0.0,1.0,,0.0,,,,0.0,0.0,5.0,1430,1430,1431,1431
Queens,4092200,36081092200.0,1.0,1.0,0.0,1.0,-5.0,-6.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,6.0,4.0,6.0,873,873,870,870
Queens,4057900,36081057900.0,,,,,,,,,,,,,,,,,0.0,657,657,657,657
Queens,4061301,36081061301.0,6.0,63.0,,2.0,0.0,0.0,1.0,0.0,-1.0,1.0,,0.0,,,1.0,3.0,5.0,2067,2067,2076,2076
Staten Island,5013204,36085013204.0,10.0,13.0,1.0,0.0,11.0,0.0,1.0,-1.0,1.0,-2.0,8.0,5.0,4.0,1.0,4.0,3.0,-1.0,1918,1918,1952,1952
Queens,4053500,36081053500.0,,,,,,,-2.0,-1.0,-1.0,-1.0,3.0,-1.0,0.0,,1.0,0.0,26.0,439,439,436,436
Queens,4059500,36081059500.0,,,0.0,9.0,1.0,,0.0,,,,44.0,2.0,10.0,,4.0,30.0,5.0,1790,1790,1846,1846
Brooklyn,3062200,36047062200.0,,4.0,30.0,11.0,1.0,-1.0,-2.0,-1.0,-23.0,-6.0,0.0,23.0,17.0,1.0,2.0,14.0,7.0,1725,1725,1757,1757
Queens,4003000,36081003000.0,,,,,1.0,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,0.0,431,431,438,438
Manhattan,1030900,36061030900.0,,,,,,,-1.0,1.0,0.0,,,,39.0,,0.0,-1.0,2.0,3483,3483,3483,3483
Queens,4099801,36081099801.0,,,8.0,5.0,,6.0,7.0,,-1.0,0.0,1.0,7.0,,,1.0,12.0,2.0,2573,2573,2606,2606
Queens,4018402,36081018402.0,,,-1.0,2.0,2.0,,2.0,0.0,,0.0,0.0,1.0,2.0,,0.0,,2.0,698,698,704,704
Queens,4023600,36081023600.0,,,,0.0,1.0,,,51.0,1.0,,481.0,1.0,437.0,11.0,0.0,62.0,109.0,756,756,1291,1291
Queens,4023800,36081023800.0,1.0,1.0,,0.0,-1.0,0.0,,,18.0,16.0,,2.0,3.0,78.0,120.0,2.0,18.0,1483,1483,1519,1519
Queens,4043200,36081043200.0,,,,,,,1.0,,,4.0,3.0,1.0,0.0,1.0,7.0,1.0,0.0,408,408,417,417
Queens,4095400,36081095400.0,4.0,8.0,3.0,5.0,2.0,4.0,,-7.0,-1.0,126.0,14.0,4.0,51.0,-2.0,102.0,38.0,15.0,1919,1919,2073,2073
Bronx,2035900,36005035900.0,0.0,0.0,0.0,,,,,-1.0,,567.0,-2.0,319.0,,77.0,331.0,183.0,-2.0,705,705,1588,1588
Bronx,2036100,36005036100.0,,,40.0,,,0.0,65.0,,-31.0,,163.0,78.0,279.0,-169.0,0.0,,,2191,2191,2506,2506
Queens,4010800,36081010800.0,2.0,2.0,0.0,1.0,2.0,1.0,-3.0,0.0,0.0,2.0,2.0,1.0,9.0,8.0,3.0,,0.0,853,853,861,861
Queens,4011800,36081011800.0,-7.0,-7.0,11.0,,7.0,0.0,1.0,,,6.0,,,60.0,,62.0,2.0,8.0,709,709,727,727
Queens,4027800,36081027800.0,,,1.0,1.0,,,0.0,,,1.0,1.0,,,,0.0,,1.0,831,831,835,835
Queens,4026400,36081026400.0,,,,,3.0,0.0,53.0,1.0,3.0,3.0,2.0,6.0,3.0,1.0,8.0,4.0,7.0,792,792,863,863
Queens,4018200,36081018200.0,1.0,3.0,1.0,1.0,0.0,,,,8.0,3.0,1.0,1.0,4.0,4.0,6.0,6.0,0.0,733,733,749,749
Queens,4018600,36081018600.0,1.0,1.0,1.0,,,,0.0,1.0,6.0,,3.0,1.0,1.0,,1.0,1.0,0.0,521,521,534,534
Bronx,2027401,36005027401.0,1.0,3.0,3.0,1.0,2.0,7.0,6.0,1.0,,,7.0,3.0,2.0,0.0,1.0,1.0,6.0,1950,1950,1981,1981
Brooklyn,3011800,36047011800.0,11.0,13.0,3.0,,3.0,-6.0,-1.0,-8.0,-4.0,8.0,,,7.0,7.0,-1.0,-3.0,-2.0,643,643,649,649
Queens,4052200,36081052200.0,,,,,,,2.0,1.0,0.0,,,,,,0.0,,1.0,487,487,490,490
Queens,4051600,36081051600.0,,,,,,,,,-1.0,1.0,,2.0,,,1.0,,0.0,584,584,586,586
Queens,4053401,36081053401.0,,,1.0,,,0.0,,,,,,2.0,2.0,-1.0,,,2.0,636,636,639,639
Queens,4048400,36081048400.0,3.0,3.0,,1.0,1.0,2.0,-1.0,1.0,,1.0,-1.0,0.0,5.0,0.0,13.0,1.0,6.0,1614,1614,1621,1621
Queens,4050000,36081050000.0,6.0,6.0,4.0,5.0,,0.0,,,2.0,12.0,-2.0,,20.0,3.0,29.0,35.0,27.0,1605,1605,1632,1632
Queens,4055400,36081055400.0,,1.0,0.0,0.0,,,,,1.0,0.0,,,,1.0,0.0,0.0,0.0,749,749,750,750
Bronx,2024800,36005024800.0,15.0,18.0,2.0,,,0.0,-1.0,,14.0,,2.0,,0.0,,,2.0,2.0,1294,1294,1326,1326
Bronx,2029600,36005029600.0,,0.0,,,0.0,,,-4.0,129.0,1.0,,,0.0,0.0,,,1.0,773,773,899,899
Queens,4047600,36081047600.0,-1.0,-1.0,-2.0,1.0,0.0,-1.0,0.0,-1.0,,0.0,-1.0,2.0,,,6.0,,3.0,453,453,450,450
Queens,4047800,36081047800.0,0.0,0.0,2.0,0.0,-1.0,0.0,23.0,2.0,-1.0,3.0,,0.0,2.0,3.0,110.0,0.0,11.0,2242,2242,2270,2270
Queens,4029500,36081029500.0,1.0,1.0,0.0,-1.0,1.0,,7.0,1.0,,,0.0,,,,,,2.0,1694,1695,1703,1704
Staten Island,5001100,36085001100.0,7.0,7.0,16.0,13.0,2.0,10.0,5.0,5.0,38.0,1.0,-6.0,5.0,36.0,1.0,12.0,,16.0,1431,1431,1527,1527
Staten Island,5001700,36085001700.0,4.0,4.0,,,39.0,0.0,2.0,,,-1.0,4.0,4.0,13.0,0.0,6.0,,12.0,649,649,701,701
Queens,4152901,36081152901.0,1.0,3.0,3.0,-1.0,4.0,1.0,4.0,7.0,-2.0,1.0,2.0,3.0,1.0,3.0,5.0,4.0,10.0,2635,2635,2658,2658
Queens,4065000,36081065000.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,,,2.0,,2.0,,-1.0,1.0,1.0,2.0,884,884,893,893
Bronx,2026100,36005026100.0,,,,,,,,,,,,,,,,,,1049,1049,1049,1049
